po_id,vendor,amount,receipt_status,po_date
PO0001,V-1002,10137.0,accepted,2026-01-02
PO0002,V-1003,10274.0,accepted,2026-01-03
PO0003,V-1004,10411.0,accepted,2026-01-04
PO0004,V-1005,10548.0,accepted,2026-01-05
PO0005,V-1001,10685.0,accepted,2026-01-06
PO0006,V-1002,10822.0,accepted,2026-01-07
PO0007,V-1003,10959.0,no_receipt,2026-01-08
PO0008,V-1004,11096.0,accepted,2026-01-09
PO0009,V-1005,11233.0,accepted,2026-01-10
PO0010,V-1001,11370.0,accepted,2026-01-11
PO0011,V-1002,11507.0,accepted,2026-01-12
PO0012,V-1003,11644.0,accepted,2026-01-13
PO0013,V-1004,11781.0,accepted,2026-01-14
PO0014,V-1005,11918.0,no_receipt,2026-01-15
PO0015,V-1001,12055.0,accepted,2026-01-16
PO0016,V-1002,12192.0,accepted,2026-01-17
PO0017,V-1003,12329.0,accepted,2026-01-18
PO0018,V-1004,12466.0,accepted,2026-01-19
PO0019,V-1005,12603.0,accepted,2026-01-20
PO0020,V-1001,12740.0,accepted,2026-01-21
PO0021,V-1002,12877.0,no_receipt,2026-01-22
PO0022,V-1003,13014.0,accepted,2026-01-23
PO0023,V-1004,13151.0,accepted,2026-01-24
PO0024,V-1005,13288.0,accepted,2026-01-25
PO0025,V-1001,13425.0,accepted,2026-01-26
PO0026,V-1002,13562.0,accepted,2026-01-27
PO0027,V-1003,13699.0,accepted,2026-01-28
PO0028,V-1004,13836.0,no_receipt,2026-01-01
PO0029,V-1005,13973.0,accepted,2026-01-02
PO0030,V-1001,14110.0,accepted,2026-01-03
PO0031,V-1002,14247.0,accepted,2026-01-04
PO0032,V-1003,14384.0,accepted,2026-01-05
PO0033,V-1004,14521.0,accepted,2026-01-06
PO0034,V-1005,14658.0,accepted,2026-01-07
PO0035,V-1001,14795.0,no_receipt,2026-01-08
PO0036,V-1002,14932.0,accepted,2026-01-09
PO0037,V-1003,15069.0,accepted,2026-01-10
PO0038,V-1004,15206.0,accepted,2026-01-11
PO0039,V-1005,15343.0,accepted,2026-01-12
PO0040,V-1001,15480.0,accepted,2026-01-13
PO0041,V-1002,15617.0,accepted,2026-01-14
PO0042,V-1003,15754.0,no_receipt,2026-01-15
PO0043,V-1004,15891.0,accepted,2026-01-16
PO0044,V-1005,16028.0,accepted,2026-01-17
PO0045,V-1001,16165.0,accepted,2026-01-18
PO0046,V-1002,16302.0,accepted,2026-01-19
PO0047,V-1003,16439.0,accepted,2026-01-20
PO0048,V-1004,16576.0,accepted,2026-01-21
PO0049,V-1005,16713.0,no_receipt,2026-01-22
PO0050,V-1001,16850.0,accepted,2026-01-23
PO0051,V-1002,16987.0,accepted,2026-01-24
PO0052,V-1003,17124.0,accepted,2026-01-25
PO0053,V-1004,17261.0,accepted,2026-01-26
PO0054,V-1005,17398.0,accepted,2026-01-27
PO0055,V-1001,17535.0,accepted,2026-01-28
PO0056,V-1002,17672.0,no_receipt,2026-01-01
PO0057,V-1003,17809.0,accepted,2026-01-02
PO0058,V-1004,17946.0,accepted,2026-01-03
PO0059,V-1005,18083.0,accepted,2026-01-04
PO0060,V-1001,18220.0,accepted,2026-01-05
