task_id,issue_ref,owner,status,due_date
RT0001,I0001,部门2,closed,2026-002-15
RT0002,I0002,部门3,closed,2026-003-15
RT0003,I0003,部门4,overdue,2026-004-15
RT0004,I0004,部门1,closed,2026-005-15
RT0005,I0005,部门2,closed,2026-006-15
RT0006,I0006,部门3,overdue,2026-007-15
RT0007,I0007,部门4,closed,2026-008-15
RT0008,I0008,部门1,closed,2026-009-15
RT0009,I0009,部门2,overdue,2026-001-15
RT0010,I0010,部门3,closed,2026-002-15
RT0011,I0011,部门4,closed,2026-003-15
RT0012,I0012,部门1,overdue,2026-004-15
RT0013,I0013,部门2,closed,2026-005-15
RT0014,I0014,部门3,closed,2026-006-15
RT0015,I0015,部门4,overdue,2026-007-15
RT0016,I0016,部门1,closed,2026-008-15
RT0017,I0017,部门2,closed,2026-009-15
RT0018,I0018,部门3,overdue,2026-001-15
RT0019,I0019,部门4,closed,2026-002-15
RT0020,I0020,部门1,closed,2026-003-15
RT0021,I0021,部门2,overdue,2026-004-15
RT0022,I0022,部门3,closed,2026-005-15
RT0023,I0023,部门4,closed,2026-006-15
RT0024,I0024,部门1,overdue,2026-007-15
RT0025,I0025,部门2,closed,2026-008-15
RT0026,I0026,部门3,closed,2026-009-15
RT0027,I0027,部门4,overdue,2026-001-15
RT0028,I0028,部门1,closed,2026-002-15
RT0029,I0029,部门2,closed,2026-003-15
RT0030,I0030,部门3,overdue,2026-004-15
