entry_id,date,account_code,description,debit_amount,credit_amount
E0001,2026-01-02,1101,正常入账1,1250.00,1250.00
E0002,2026-01-03,1201,正常入账2,1500.00,1500.00
E0003,2026-01-04,1401,正常入账3,1750.00,1750.00
E0004,2026-01-05,2001,正常入账4,2000.00,2000.00
E0005,2026-01-06,2201,正常入账5,2250.00,2250.00
E0006,2026-01-07,2301,正常入账6,2500.00,2500.00
E0007,2026-01-08,3101,正常入账7,2750.00,2750.00
E0008,2026-01-09,1001,正常入账8,3000.00,3000.00
E0009,2026-01-10,1101,正常入账9,3250.00,3250.00
E0010,2026-01-11,1201,正常入账10,3500.00,3500.00
E0011,2026-01-12,1401,正常入账11,3750.00,3750.00
E0012,2026-01-13,2001,正常入账12,4000.00,4000.00
E0013,2026-01-14,2201,正常入账13,4250.00,4250.00
E0014,2026-01-15,2301,正常入账14,4500.00,4500.00
E0015,2026-01-16,3101,正常入账15,4750.00,4750.00
E0016,2026-01-17,1001,正常入账16,5000.00,5000.00
E0017,2026-01-18,1101,正常入账17,5250.00,5250.00
E0018,2026-01-19,1201,正常入账18,5500.00,5500.00
E0019,2026-01-20,1401,正常入账19,5750.00,5750.00
E0020,2026-01-21,2001,正常入账20,6000.00,6000.00
E0021,2026-01-22,2201,正常入账21,6250.00,6250.00
E0022,2026-01-23,2301,正常入账22,6500.00,6500.00
E0023,2026-01-24,3101,正常入账23,6750.00,6750.00
E0024,2026-01-25,1001,正常入账24,7000.00,7000.00
E0025,2026-01-26,1101,正常入账25,7250.00,7250.00
E0026,2026-01-27,1201,正常入账26,7500.00,7500.00
E0027,2026-01-28,1401,正常入账27,7750.00,7750.00
E0028,2026-01-01,2001,正常入账28,8000.00,8000.00
E0029,2026-01-02,2201,正常入账29,8250.00,8250.00
E0030,2026-01-03,2301,正常入账30,8500.00,8500.00
E0031,2026-01-04,3101,正常入账31,8750.00,8750.00
E0032,2026-01-05,1001,正常入账32,9000.00,9000.00
E0033,2026-01-06,1101,正常入账33,9250.00,9250.00
E0034,2026-01-07,1201,正常入账34,9500.00,9500.00
E0035,2026-01-08,1401,正常入账35,9750.00,9750.00
E0036,2026-01-09,2001,正常入账36,10000.00,10000.00
E0037,2026-01-10,2201,正常入账37,10250.00,10250.00
E0038,2026-01-11,2301,正常入账38,10500.00,10500.00
E0039,2026-01-12,3101,正常入账39,10750.00,10750.00
E0040,2026-01-13,1001,正常入账40,1000.00,1000.00
E0041,2026-01-14,1101,正常入账41,1250.00,1250.00
E0042,2026-01-15,1201,正常入账42,1500.00,1500.00
E0043,2026-01-16,1401,正常入账43,1750.00,1750.00
E0044,2026-01-17,2001,正常入账44,2000.00,2000.00
E0045,2026-01-18,2201,正常入账45,2250.00,2250.00
E0046,2026-01-19,2301,正常入账46,2500.00,2500.00
E0047,2026-01-20,3101,正常入账47,2750.00,2750.00
E0048,2026-01-21,1001,正常入账48,3000.00,3000.00
E0049,2026-01-22,1101,正常入账49,3250.00,3250.00
E0050,2026-01-23,1201,正常入账50,3500.00,3500.00
E0051,2026-01-24,1401,正常入账51,3750.00,3750.00
E0052,2026-01-25,2001,正常入账52,4000.00,4000.00
E0053,2026-01-26,2201,正常入账53,4250.00,4250.00
E0054,2026-01-27,2301,正常入账54,4500.00,4500.00
E0055,2026-01-28,3101,正常入账55,4750.00,4750.00
E0056,2026-01-01,1001,正常入账56,5000.00,5000.00
E0057,2026-01-02,1101,正常入账57,5250.00,5250.00
E0058,2026-01-03,1201,正常入账58,5500.00,5500.00
E0059,2026-01-04,1401,正常入账59,5750.00,5750.00
E0060,2026-01-05,2001,正常入账60,6000.00,6000.00
E0061,2026-01-06,2201,正常入账61,6250.00,6250.00
E0062,2026-01-07,2301,正常入账62,6500.00,6500.00
E0063,2026-01-08,3101,正常入账63,6750.00,6750.00
E0064,2026-01-09,1001,正常入账64,7000.00,7000.00
E0065,2026-01-10,1101,正常入账65,7250.00,7250.00
E0066,2026-01-11,1201,正常入账66,7500.00,7500.00
E0067,2026-01-12,1401,正常入账67,7750.00,7750.00
E0068,2026-01-13,2001,正常入账68,8000.00,8000.00
E0069,2026-01-14,2201,正常入账69,8250.00,8250.00
E0070,2026-01-15,2301,正常入账70,8500.00,8500.00
E0071,2026-01-16,3101,正常入账71,8750.00,8750.00
E0072,2026-01-17,1001,正常入账72,9000.00,9000.00
E0073,2026-01-18,1101,正常入账73,9250.00,9250.00
E0074,2026-01-19,1201,正常入账74,9500.00,9500.00
E0075,2026-01-20,1401,正常入账75,9750.00,9750.00
E0076,2026-01-21,2001,正常入账76,10000.00,10000.00
E0077,2026-01-22,2201,正常入账77,10250.00,10250.00
E0078,2026-01-23,2301,正常入账78,10500.00,10500.00
E0079,2026-01-24,3101,正常入账79,10750.00,10750.00
E0080,2026-01-25,1001,正常入账80,1000.00,1000.00
E9001,2026-01-10,1001,重复入账E9001,8000.00,8000.00
E9001,2026-01-10,1001,重复入账E9001,8000.00,8000.00
E9002,2026-01-10,1001,重复入账E9002,8000.00,8000.00
E9002,2026-01-10,1001,重复入账E9002,8000.00,8000.00
E9003,2026-01-10,1001,重复入账E9003,8000.00,8000.00
E9003,2026-01-10,1001,重复入账E9003,8000.00,8000.00
E9201,2025-12-31,2201,跨期费用,500.00,500.00
E9202,2025-12-31,2201,跨期费用,500.00,500.00
E9203,2026-02-01,2301,提前入账,300.00,300.00
E9204,2026-13-01,2301,无效日期,300.00,300.00
E9101,2026-01-15,1101,借贷不平-借多,12000.00,10000.00
