主体,科目编码,科目名称,类别,期初余额,期末余额
黔岭酒业股份有限公司,1001,库存现金,asset,200000,200000.00
黔岭酒业股份有限公司,1002,银行存款,asset,2859800000,1905800000.00
黔岭酒业股份有限公司,1012,其他货币资金,asset,1000000000,1000000000.00
黔岭酒业股份有限公司,1101,交易性金融资产,asset,1200000000,1500000000.00
黔岭酒业股份有限公司,1121,应收票据,asset,0,0.00
黔岭酒业股份有限公司,1122,应收账款,asset,300000000,660000000.00
黔岭酒业股份有限公司,1123,预付款项,asset,42000000,42000000.00
黔岭酒业股份有限公司,1221,其他应收款,asset,96000000,96000000.00
黔岭酒业股份有限公司,1231,坏账准备,asset_contra,0,-3000000.00
黔岭酒业股份有限公司,1401,原材料,asset,260000000,520000000.00
黔岭酒业股份有限公司,1402,生产成本,asset,1180000000,920000000.00
黔岭酒业股份有限公司,1405,库存商品,asset,1420000000,1256000000.00
黔岭酒业股份有限公司,1471,存货跌价准备,asset_contra,0,-4000000.00
黔岭酒业股份有限公司,1501,长期股权投资,asset,468800000,468800000.00
黔岭酒业股份有限公司,1601,固定资产,asset,3240000000,3310000000.00
黔岭酒业股份有限公司,1602,累计折旧,asset_contra,-1180000000,-1326000000.00
黔岭酒业股份有限公司,1604,在建工程,asset,386000000,1512000000.00
黔岭酒业股份有限公司,1701,无形资产,asset,428000000,428000000.00
黔岭酒业股份有限公司,1702,累计摊销,asset_contra,-132000000,-148000000.00
黔岭酒业股份有限公司,1801,长期待摊费用,asset,36000000,29000000.00
黔岭酒业股份有限公司,1811,递延所得税资产,asset,62000000,62000000.00
黔岭酒业股份有限公司,1901,其他流动资产,asset,88000000,88000000.00
黔岭酒业股份有限公司,2202,应付账款,liability,-486000000,-556000000.00
黔岭酒业股份有限公司,2204,合同负债,liability,-1268000000,-1788000000.00
黔岭酒业股份有限公司,2211,应付职工薪酬,liability,-186000000,-214000000.00
黔岭酒业股份有限公司,2221,应交税费,liability,-742000000,-800000000.00
黔岭酒业股份有限公司,2241,其他应付款,liability,-640000000,-795800000.00
黔岭酒业股份有限公司,2601,租赁负债,liability,-48000000,-48000000.00
黔岭酒业股份有限公司,2611,一年内到期的非流动负债,liability,-12000000,-12000000.00
黔岭酒业股份有限公司,2901,递延收益,liability,-96000000,-126000000.00
黔岭酒业股份有限公司,4001,股本,equity,-1256000000,-1256000000.00
黔岭酒业股份有限公司,4002,资本公积,equity,-2180000000,-2180000000.00
黔岭酒业股份有限公司,4101,盈余公积,equity,-628000000,-773000000.00
黔岭酒业股份有限公司,4104,未分配利润,equity,-4212800000,-3672000000.00
黔岭酒业股份有限公司,6001,主营业务收入,income,0,-2066000000.00
黔岭酒业股份有限公司,6051,其他业务收入,income,0,-13400000.00
黔岭酒业股份有限公司,6111,投资收益,income,0,-98000000.00
黔岭酒业股份有限公司,6117,其他收益,income,0,-21000000.00
黔岭酒业股份有限公司,6301,营业外收入,income,0,-3200000.00
黔岭酒业股份有限公司,6401,主营业务成本,expense,0,1142000000.00
黔岭酒业股份有限公司,6402,其他业务成本,expense,0,8000000.00
黔岭酒业股份有限公司,6403,税金及附加,expense,0,520000000.00
黔岭酒业股份有限公司,6601,销售费用,expense,0,180000000.00
黔岭酒业股份有限公司,6602,管理费用,expense,0,220000000.00
黔岭酒业股份有限公司,6603,研发费用,expense,0,46000000.00
黔岭酒业股份有限公司,6604,财务费用,expense,0,-58000000.00
黔岭酒业股份有限公司,6701,信用减值损失,expense,0,3000000.00
黔岭酒业股份有限公司,6702,资产减值损失,expense,0,4000000.00
黔岭酒业股份有限公司,6711,营业外支出,expense,0,8600000.00
黔岭酒业股份有限公司,6801,所得税费用,expense,0,32000000.00
