主体,科目编码,科目名称,类别,期初余额,期末余额
黔岭酒类包装有限公司,1002,银行存款,asset,46000000,66000000.00
黔岭酒类包装有限公司,1122,应收账款,asset,86000000,156000000.00
黔岭酒类包装有限公司,1401,原材料,asset,32000000,20000000.00
黔岭酒类包装有限公司,1402,生产成本,asset,0,0.00
黔岭酒类包装有限公司,1405,库存商品,asset,24000000,0.00
黔岭酒类包装有限公司,1601,固定资产,asset,188000000,188000000.00
黔岭酒类包装有限公司,1602,累计折旧,asset_contra,-64000000,-90000000.00
黔岭酒类包装有限公司,2202,应付账款,liability,-46000000,-46000000.00
黔岭酒类包装有限公司,2211,应付职工薪酬,liability,-12000000,-10000000.00
黔岭酒类包装有限公司,2221,应交税费,liability,-8000000,-10000000.00
黔岭酒类包装有限公司,4001,股本,equity,-60000000,-60000000.00
黔岭酒类包装有限公司,4002,资本公积,equity,-20000000,-20000000.00
黔岭酒类包装有限公司,4101,盈余公积,equity,-10000000,-12300000.00
黔岭酒类包装有限公司,4104,未分配利润,equity,-156000000,-153700000.00
黔岭酒类包装有限公司,6001,主营业务收入,income,0,-260000000.00
黔岭酒类包装有限公司,6401,主营业务成本,expense,0,200000000.00
黔岭酒类包装有限公司,6403,税金及附加,expense,0,6000000.00
黔岭酒类包装有限公司,6602,管理费用,expense,0,18000000.00
黔岭酒类包装有限公司,6801,所得税费用,expense,0,8000000.00
