费用项目,本期发生额,上期发生额,变动率,备注
销售费用-职工薪酬,"268,000,000.00","236,000,000.00",13.56%,
销售费用-折旧与摊销,"490,833.33","490,833.33",0.00%,
销售费用-市场推广费,"72,000,000.00","68,000,000.00",5.88%,
销售费用-运输费,"42,000,000.00","31,000,000.00",35.48%,★ 系支付黔岭物流，管理层未识别为关联方
销售费用-其他,"69,000,000.00","76,000,000.00",-9.21%,
销售费用小计,"451,490,833.33","411,490,833.33",9.72%,与总账科目发生额勾稽一致
管理费用-职工薪酬,"62,000,000.00","58,000,000.00",6.90%,"★ 未含 2025 年 12 月奖金 18,000,000"
管理费用-折旧与摊销,"66,795,000.00","65,800,000.00",1.51%,
管理费用-其他,"149,000,000.00","141,000,000.00",5.67%,
管理费用小计,"277,795,000.00","264,800,000.00",4.91%,与总账科目发生额勾稽一致
研发费用-研发投入,"46,000,000.00","38,000,000.00",21.05%,
研发费用小计,"46,000,000.00","38,000,000.00",21.05%,与总账科目发生额勾稽一致
