日期,摘要,借方(收款),贷方(付款),账面余额,内部标记
2025-02-28,直销收入-天酿-国内（收现）,"720,000,000.00",,"3,579,800,000.00",
2025-04-30,购建固定资产支付现金,,"1,196,000,000.00","2,383,800,000.00",
2025-05-31,直销收入-春酿-国内,"246,000,000.00",,"2,629,800,000.00",
2025-07-31,其他应收款-往来款,,"25,000,000.00","2,604,800,000.00",
2025-07-31,购买理财产品,,"300,000,000.00","2,304,800,000.00",
2025-08-31,直销收入-春酿-国外,"40,000,000.00",,"2,344,800,000.00",
2025-10-31,收黔岭销售货款,"700,000,000.00",,"3,044,800,000.00",
2025-10-31,支付品牌广告制作费,,"15,000,000.00","3,029,800,000.00",
2025-11-30,酒糟及废旧物资销售,"13,400,000.00",,"3,043,200,000.00",
2025-11-30,支付黔岭包装货款,,"190,000,000.00","2,853,200,000.00",
2025-12-28,开出转账支票 2206,,"42,000,000.00","2,811,200,000.00",企业已付、银行未付（未兑付支票 2206）
2025-12-29,开出转账支票 2209,,"30,000,000.00","2,781,200,000.00",企业已付、银行未付（未兑付支票 2209）
2025-12-31,预收经销商货款,"520,000,000.00",,"3,301,200,000.00",
2025-12-31,采购原辅料,,"402,000,000.00","2,899,200,000.00",
2025-12-31,生产制造费用（水电燃气）,,"112,000,000.00","2,787,200,000.00",
2025-12-31,其他业务成本,,"8,000,000.00","2,779,200,000.00",
2025-12-31,实际支付职工薪酬,,"250,000,000.00","2,529,200,000.00",
2025-12-31,销售费用（除薪酬外）,,"69,000,000.00","2,460,200,000.00",
2025-12-31,管理费用（除薪酬外）,,"67,000,000.00","2,393,200,000.00",
2025-12-31,研发费用（除薪酬外）,,"34,000,000.00","2,359,200,000.00",
2025-12-31,利息收入,"58,000,000.00",,"2,417,200,000.00",
2025-12-31,政府补助（与收益相关：稳岗补贴）,"21,000,000.00",,"2,438,200,000.00",
2025-12-31,收到技改专项补助,"30,000,000.00",,"2,468,200,000.00",
2025-12-31,理财产品投资收益,"18,000,000.00",,"2,486,200,000.00",
2025-12-31,收到黔岭销售分红,"80,000,000.00",,"2,566,200,000.00",
2025-12-31,营业外收入-罚款及违约金,"3,200,000.00",,"2,569,400,000.00",
2025-12-31,营业外支出-对外捐赠,,"8,600,000.00","2,560,800,000.00",
2025-12-31,电汇 2210（已汇出，银行未扣款）,,"14,000,000.00","2,546,800,000.00",企业已付、银行未付（已汇出未扣款）
2025-12-31,缴纳消费税及附加,,"460,000,000.00","2,086,800,000.00",
2025-12-31,缴纳企业所得税,,"34,000,000.00","2,052,800,000.00",
2025-12-31,支付其他应付款项,,"240,000,000.00","1,812,800,000.00",
