报表,项目,期末/本期金额
合并资产负债表,货币资金,"5,404,385,041.67"
合并资产负债表,交易性金融资产,"1,500,000,000.00"
合并资产负债表,应收账款,"372,700,000.00"
合并资产负债表,预付款项,"42,000,000.00"
合并资产负债表,其他应收款,"166,000,000.00"
合并资产负债表,存货,"2,947,705,833.33"
合并资产负债表,其他流动资产,"102,000,000.00"
合并资产负债表,流动资产合计,"10,654,790,875.00"
合并资产负债表,长期股权投资,0.00
合并资产负债表,固定资产,"2,089,032,986.16"
合并资产负债表,在建工程,"1,698,000,000.00"
合并资产负债表,无形资产,"280,000,000.00"
合并资产负债表,长期待摊费用,"44,000,000.00"
合并资产负债表,递延所得税资产,"62,000,000.00"
合并资产负债表,非流动资产合计,"4,173,032,986.16"
合并资产负债表,资产总计,"14,827,823,861.16"
合并资产负债表,应付账款,"372,000,000.00"
合并资产负债表,合同负债,"2,768,000,000.00"
合并资产负债表,应付职工薪酬,"242,000,000.00"
合并资产负债表,应交税费,"1,013,487,333.34"
合并资产负债表,其他应付款,"801,800,000.00"
合并资产负债表,一年内到期的非流动负债,"12,000,000.00"
合并资产负债表,流动负债合计,"5,209,287,333.34"
合并资产负债表,租赁负债,"48,000,000.00"
合并资产负债表,递延收益,"96,000,000.00"
合并资产负债表,非流动负债合计,"144,000,000.00"
合并资产负债表,负债合计,"5,353,287,333.34"
合并资产负债表,股本,"1,416,000,000.00"
合并资产负债表,资本公积,"2,240,000,000.00"
合并资产负债表,盈余公积,"849,300,000.00"
合并资产负债表,未分配利润,"5,438,036,527.82"
合并资产负债表,归属于母公司所有者权益合计,"9,431,451,111.15"
合并资产负债表,少数股东权益,"43,085,416.67"
合并资产负债表,所有者权益合计,"9,474,536,527.82"
合并利润表,营业收入,"4,345,400,000.00"
合并利润表,营业成本,"1,028,000,000.00"
合并利润表,税金及附加,"586,000,000.00"
合并利润表,销售费用,"451,490,833.33"
合并利润表,管理费用,"300,403,333.33"
合并利润表,研发费用,"46,000,000.00"
合并利润表,财务费用,"-58,000,000.00"
合并利润表,其他收益,"71,000,000.00"
合并利润表,投资收益,"18,000,000.00"
合并利润表,信用减值损失,"21,300,000.00"
合并利润表,资产减值损失,"4,000,000.00"
合并利润表,营业利润,"2,055,205,833.34"
合并利润表,营业外收入,"3,200,000.00"
合并利润表,营业外支出,"8,600,000.00"
合并利润表,利润总额,"2,049,805,833.34"
合并利润表,所得税费用,"479,302,291.67"
合并利润表,净利润,"1,570,503,541.67"
