会计主体,存货类别,期初余额,本期入库/增加,本期出库/结转,期末余额
黔岭酒业股份有限公司,原材料,"260,000,000.00","662,000,000.00","402,000,000.00","520,000,000.00"
黔岭酒业股份有限公司,在产品,"1,180,000,000.00","719,580,833.33","978,000,000.00","921,580,833.33"
黔岭酒业股份有限公司,库存商品,"1,420,000,000.00","1,040,000,000.00","1,156,000,000.00","1,304,000,000.00"
黔岭销售有限公司,原材料,0.00,0.00,0.00,0.00
黔岭销售有限公司,在产品,0.00,0.00,0.00,0.00
黔岭销售有限公司,库存商品,"186,000,000.00","1,000,000,000.00","1,000,000,000.00","186,000,000.00"
黔岭酒类包装有限公司,原材料,"32,000,000.00","96,000,000.00","107,875,000.00","20,125,000.00"
黔岭酒类包装有限公司,在产品,0.00,"176,000,000.00","176,000,000.00",0.00
黔岭酒类包装有限公司,库存商品,"24,000,000.00","176,000,000.00","200,000,000.00",0.00
黔岭酒业股份有限公司,"★ 说明：结转主营成本较倒算数少 62,000,000（E03）",—,—,—,—
黔岭酒业股份有限公司,"★ 说明：盘亏 14,000,000 已转出至其他流动资产（E06）",—,—,—,—
