会计主体,产品,渠道,地区,客户,确认收入金额,出库单日期,客户签收日期,记账日期
黔岭酒业股份有限公司,黔岭·天酿,批发代理,国内,黔岭商贸有限公司,"80,000,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭酒业股份有限公司,黔岭·天酿,直销,国内,外部客户（汇总）,"720,000,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭酒业股份有限公司,黔岭·天酿,直销,国内,外部经销商,"60,000,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭酒业股份有限公司,黔岭·春酿,直销,国内,外部客户（汇总）,"246,000,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭酒业股份有限公司,黔岭·春酿,直销,国外,外部客户（汇总）,"40,000,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭销售有限公司,黔岭·天酿,批发代理,国内,华东区经销商（含某商贸）,"66,000,000.00",2026-01-05,2026-01-08,2026-01-05
黔岭销售有限公司,黔岭·天酿,批发代理,国内,华北区经销商（汇总）,"2,355,800,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭销售有限公司,黔岭·春酿,批发代理,国内,华南区经销商（汇总）,"584,200,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭销售有限公司,黔岭·春酿,批发代理,国外,出口经销商（汇总）,"180,000,000.00",2025-12-25,2025-12-28,2025-12-31
黔岭酒业股份有限公司,黔岭·天酿,批发代理,国内,黔岭商贸有限公司,"80,000,000.00",★ 无出库单,★ 无签收单,2025-12-28
黔岭销售有限公司,黔岭·天酿,批发代理,国内,华中区经销商（汇总）,0.00（★ 未确认收入）,2025-12-26,2025-12-29,★ 未记账（E09）
黔岭销售有限公司,黔岭·春酿,批发代理,国内,西部区经销商（汇总）,0.00（★ 未确认收入）,2025-12-27,2025-12-30,★ 未记账（E09）
