主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
S1,黔岭销售有限公司,1002,银行存款,680000000.00,2598000000.00,1414300000.00,1863700000.00
S1,黔岭销售有限公司,1121,应收票据,36000000.00,0.00,0.00,36000000.00
S1,黔岭销售有限公司,1122,应收账款,432000000.00,301240000.00,18000000.00,715240000.00
S1,黔岭销售有限公司,1231,坏账准备,-21600000.00,0.00,14160000.00,-35760000.00
S1,黔岭销售有限公司,1405,库存商品,160000000.00,1200000000.00,1180356656.00,179643344.00
S1,黔岭销售有限公司,1601,固定资产,130000000.00,0.00,0.00,130000000.00
S1,黔岭销售有限公司,1602,累计折旧,-40248333.33,0.00,6080000.00,-46328333.33
S1,黔岭销售有限公司,2202,应付账款,-250000000.00,850000000.00,1200000000.00,-600000000.00
S1,黔岭销售有限公司,2204,合同负债,-500000000.00,0.00,0.00,-500000000.00
S1,黔岭销售有限公司,2211,应付职工薪酬,-42000000.00,186000000.00,168000000.00,-24000000.00
S1,黔岭销售有限公司,2221,应交税费,-96000000.00,200300000.00,198000000.00,-93700000.00
S1,黔岭销售有限公司,4001,股本,-100000000.00,0.00,0.00,-100000000.00
S1,黔岭销售有限公司,4002,资本公积,-40000000.00,0.00,0.00,-40000000.00
S1,黔岭销售有限公司,4101,盈余公积,-26000000.00,0.00,0.00,-26000000.00
S1,黔岭销售有限公司,4104,未分配利润,-322151666.67,80000000.00,0.00,-242151666.67
S1,黔岭销售有限公司,6001,主营业务收入,0.00,0.00,2881240000.00,-2881240000.00
S1,黔岭销售有限公司,6401,主营业务成本,0.00,1180356656.00,0.00,1180356656.00
S1,黔岭销售有限公司,6403,税金及附加,0.00,86000000.00,0.00,86000000.00
S1,黔岭销售有限公司,6601,销售费用,0.00,220080000.00,0.00,220080000.00
S1,黔岭销售有限公司,6602,管理费用,0.00,52000000.00,0.00,52000000.00
S1,黔岭销售有限公司,6701,信用减值损失,0.00,14160000.00,0.00,14160000.00
S1,黔岭销售有限公司,6801,所得税费用,0.00,112000000.00,0.00,112000000.00
