sku,book_qty,actual_qty,unit_cost
SKU-001,101,101,52.5
SKU-002,102,102,55.0
SKU-003,103,103,57.5
SKU-004,104,104,60.0
SKU-005,105,105,62.5
SKU-006,106,106,65.0
SKU-007,107,107,67.5
SKU-008,108,108,70.0
SKU-009,109,104,72.5
SKU-010,110,110,75.0
SKU-011,111,111,77.5
SKU-012,112,112,80.0
SKU-013,113,113,82.5
SKU-014,114,114,85.0
SKU-015,115,115,87.5
SKU-016,116,116,90.0
SKU-017,117,117,92.5
SKU-018,118,113,95.0
SKU-019,119,119,97.5
SKU-020,120,120,100.0
SKU-021,121,121,102.5
SKU-022,122,122,105.0
SKU-023,123,123,107.5
SKU-024,124,124,110.0
SKU-025,125,125,112.5
SKU-026,126,126,115.0
SKU-027,127,122,117.5
SKU-028,128,128,120.0
SKU-029,129,129,122.5
SKU-030,130,130,125.0
SKU-031,131,131,127.5
SKU-032,132,132,130.0
SKU-033,133,133,132.5
SKU-034,134,134,135.0
SKU-035,135,135,137.5
SKU-036,136,131,140.0
SKU-037,137,137,142.5
SKU-038,138,138,145.0
SKU-039,139,139,147.5
SKU-040,140,140,150.0
