issue_id,year,category,amount
HIS0001,2024,资金,1000.0
HIS0002,2025,销售,2000.0
HIS0003,2023,存货,3000.0
HIS0004,2024,费用,4000.0
HIS0005,2025,采购,5000.0
HIS0006,2023,资金,6000.0
HIS0007,2024,销售,7000.0
HIS0008,2025,存货,8000.0
HIS0009,2023,费用,9000.0
HIS0010,2024,采购,10000.0
HIS0011,2025,资金,11000.0
HIS0012,2023,销售,12000.0
HIS0013,2024,存货,13000.0
HIS0014,2025,费用,14000.0
HIS0015,2023,采购,15000.0
HIS0016,2024,资金,16000.0
HIS0017,2025,销售,17000.0
HIS0018,2023,存货,18000.0
HIS0019,2024,费用,19000.0
HIS0020,2025,采购,20000.0
HIS0021,2023,资金,21000.0
HIS0022,2024,销售,22000.0
HIS0023,2025,存货,23000.0
HIS0024,2023,费用,24000.0
HIS0025,2024,采购,25000.0
HIS0026,2025,资金,26000.0
HIS0027,2023,销售,27000.0
HIS0028,2024,存货,28000.0
HIS0029,2025,费用,29000.0
HIS0030,2023,采购,30000.0
HIS0031,2024,资金,31000.0
HIS0032,2025,销售,32000.0
HIS0033,2023,存货,33000.0
HIS0034,2024,费用,34000.0
HIS0035,2025,采购,35000.0
HIS0036,2023,资金,36000.0
HIS0037,2024,销售,37000.0
HIS0038,2025,存货,38000.0
HIS0039,2023,费用,39000.0
HIS0040,2024,采购,40000.0
