invoice_id,customer,amount,discount_rate,invoice_date
INV0001,C-1001,5089.0,0.03,2026-01-02
INV0002,C-1002,5178.0,0.03,2026-01-03
INV0003,C-1003,5267.0,0.03,2026-01-04
INV0004,C-1004,5356.0,0.03,2026-01-05
INV0005,C-1005,5445.0,0.03,2026-01-06
INV0006,C-1006,5534.0,0.03,2026-01-07
INV0007,C-1007,5623.0,0.03,2026-01-08
INV0008,C-1008,5712.0,0.03,2026-01-09
INV0009,C-1009,5801.0,0.03,2026-01-10
INV0010,C-1010,5890.0,0.03,2026-01-11
INV0011,C-1011,5979.0,0.15,2026-01-12
INV0012,C-1012,6068.0,0.03,2026-01-13
INV0013,C-1013,6157.0,0.03,2026-01-14
INV0014,C-1014,6246.0,0.03,2026-01-15
INV0015,C-1015,6335.0,0.03,2026-01-16
INV0016,C-1016,6424.0,0.03,2026-01-17
INV0017,C-1017,6513.0,0.03,2026-01-18
INV0018,C-1018,6602.0,0.03,2026-01-19
INV0019,C-1019,6691.0,0.03,2026-01-20
INV0020,C-1020,6780.0,0.03,2026-01-21
INV0021,C-1021,6869.0,0.03,2026-01-22
INV0022,C-1022,6958.0,0.15,2026-01-23
INV0023,C-1023,7047.0,0.03,2026-01-24
INV0024,C-1024,7136.0,0.03,2026-01-25
INV0025,C-1025,7225.0,0.03,2026-01-26
INV0026,C-1026,7314.0,0.03,2026-01-27
INV0027,C-1027,7403.0,0.03,2026-01-28
INV0028,C-1028,7492.0,0.03,2026-01-01
INV0029,C-1029,7581.0,0.03,2026-01-02
INV0030,C-1030,7670.0,0.03,2026-01-03
INV0031,C-1031,7759.0,0.03,2026-01-04
INV0032,C-1032,7848.0,0.03,2026-01-05
INV0033,C-1033,7937.0,0.15,2026-01-06
INV0034,C-1034,8026.0,0.03,2026-01-07
INV0035,C-1035,8115.0,0.03,2026-01-08
INV0036,C-1036,8204.0,0.03,2026-01-09
INV0037,C-1037,8293.0,0.03,2026-01-10
INV0038,C-1038,8382.0,0.03,2026-01-11
INV0039,C-1039,8471.0,0.03,2026-01-12
INV0040,C-1040,8560.0,0.03,2026-01-13
INV0041,C-1041,8649.0,0.03,2026-01-14
INV0042,C-1042,8738.0,0.03,2026-01-15
INV0043,C-1043,8827.0,0.03,2026-01-16
INV0044,C-1044,8916.0,0.15,2026-01-17
INV0045,C-1045,9005.0,0.03,2026-01-18
INV0046,C-1046,9094.0,0.03,2026-01-19
INV0047,C-1047,9183.0,0.03,2026-01-20
INV0048,C-1048,9272.0,0.03,2026-01-21
INV0049,C-1049,9361.0,0.03,2026-01-22
INV0050,C-1050,9450.0,0.03,2026-01-23
INV0051,C-1051,9539.0,0.03,2026-01-24
INV0052,C-1052,9628.0,0.03,2026-01-25
INV0053,C-1053,9717.0,0.03,2026-01-26
INV0054,C-1054,9806.0,0.03,2026-01-27
INV0055,C-1055,9895.0,0.15,2026-01-28
INV0056,C-1056,9984.0,0.03,2026-01-01
INV0057,C-1057,10073.0,0.03,2026-01-02
INV0058,C-1058,10162.0,0.03,2026-01-03
INV0059,C-1059,10251.0,0.03,2026-01-04
INV0060,C-1060,10340.0,0.03,2026-01-05
