套件,文件,用例,状态,耗时秒,说明
tests,tests/contract/test_ai_canvas_chat_contract.py,test_build_chat_goal_includes_history_and_current_message,passed,2.089,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_build_chat_goal_caps_history_to_recent_turns,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_build_chat_goal_mentions_base_draft_nodes_and_edges,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_build_chat_goal_tolerates_empty_base_draft,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_reply_text_draft_ready_reports_graph,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_reply_text_gap_report_is_honest,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_canvas_chat_request_rejects_extra_fields,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_canvas_chat_request_validates_bounds,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_canvas_chat_request_accepts_valid_payload,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_canvas_chat_planner_passes_compressed_goal_to_ai_planner,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_ai_planner_emits_progress_stage_sequence,passed,0.001,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_ai_planner_progress_without_callback_is_noop,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_validate_draft_rejects_unregistered_port,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_validate_draft_rejects_deviated_contract_field,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_validate_draft_accepts_registered_ports_verbatim,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_recall_snapshot_carries_port_contracts,passed,0.001,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_validate_draft_accepts_external_canvas_seed_source,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_planner_auto_binds_canvas_outlet_to_dangling_required_input,passed,0.000,
tests,tests/contract/test_ai_canvas_chat_contract.py,test_planner_compiles_draft_without_model_seed_via_auto_binding,passed,0.000,
tests,tests/contract/test_ai_composer.py,test_discover_full_contract_directory,passed,0.008,
tests,tests/contract/test_ai_composer.py,test_discover_verified_runtime_subset,passed,0.007,
tests,tests/contract/test_ai_composer.py,test_keyword_recall_hits,passed,0.008,
tests,tests/contract/test_ai_composer.py,test_compose_verified_workflow_is_deterministic_and_compiles,passed,0.039,
tests,tests/contract/test_ai_composer.py,test_compose_and_compile_roundtrip,passed,0.024,
tests,tests/contract/test_ai_composer.py,test_compose_rejects_unknown_plugin,passed,0.008,
tests,tests/contract/test_ai_composer.py,test_compile_rejects_broken_contract_edge,passed,0.000,
tests,tests/contract/test_aiops_alert_correlation_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.016,
tests,tests/contract/test_aiops_alert_correlation_contract.py,test_alert_event_set_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.002,
tests,tests/contract/test_aiops_alert_correlation_contract.py,test_incident_candidate_set_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.004,
tests,tests/contract/test_aiops_alert_triage_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.015,
tests,tests/contract/test_aiops_alert_triage_contract.py,test_manifest_is_schema_valid_and_declares_no_write_permission,passed,0.007,
tests,tests/contract/test_aiops_alert_triage_contract.py,test_alert_event_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.003,
tests,tests/contract/test_aiops_alert_triage_contract.py,test_incident_proposal_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.003,
tests,tests/contract/test_aiops_playbook_proposer_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.015,
tests,tests/contract/test_aiops_playbook_proposer_contract.py,test_manifest_and_binding_declare_only_the_verified_read_only_capability,passed,0.001,
tests,tests/contract/test_aiops_playbook_proposer_contract.py,test_rca_candidates_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.005,
tests,tests/contract/test_aiops_playbook_proposer_contract.py,test_remediation_proposal_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.010,
tests,tests/contract/test_aiops_postmortem_draft_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.015,
tests,tests/contract/test_aiops_postmortem_draft_contract.py,test_manifest_is_schema_valid_and_declares_no_write_permission,passed,0.007,
tests,tests/contract/test_aiops_postmortem_draft_contract.py,test_incident_proposal_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.004,
tests,tests/contract/test_aiops_postmortem_draft_contract.py,test_postmortem_draft_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.007,
tests,tests/contract/test_aiops_rca_ranker_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_aiops_rca_ranker_contract.py,test_rca_input_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.002,
tests,tests/contract/test_aiops_rca_ranker_contract.py,test_rca_candidates_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.004,
tests,tests/contract/test_aiops_rca_ranker_contract.py,test_rca_candidates_rejects_undeclared_properties,passed,0.001,
tests,tests/contract/test_aiops_recovery_verifier_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_aiops_recovery_verifier_contract.py,test_manifest_and_binding_declare_only_the_verified_read_only_capability,passed,0.000,
tests,tests/contract/test_aiops_recovery_verifier_contract.py,test_metric_series_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.003,
tests,tests/contract/test_aiops_recovery_verifier_contract.py,test_recovery_verification_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.007,
tests,tests/contract/test_aiops_ticket_draft_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_aiops_ticket_draft_contract.py,test_manifest_is_schema_valid_and_declares_no_write_permission,passed,0.008,
tests,tests/contract/test_aiops_ticket_draft_contract.py,test_incident_proposal_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.004,
tests,tests/contract/test_aiops_ticket_draft_contract.py,test_ticket_draft_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.005,
tests,tests/contract/test_audit_evidence_lineage_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_audit_evidence_lineage_contract.py,test_manifest_is_schema_valid_and_declares_no_write_permission,passed,0.009,
tests,tests/contract/test_audit_evidence_lineage_contract.py,test_released_graph_ref_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.003,
tests,tests/contract/test_audit_evidence_lineage_contract.py,test_evidence_lineage_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.004,
tests,tests/contract/test_audit_finding_draft_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_audit_finding_draft_contract.py,test_manifest_and_binding_declare_only_the_verified_read_only_capability,passed,0.000,
tests,tests/contract/test_audit_finding_draft_contract.py,test_finding_draft_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.008,
tests,tests/contract/test_audit_investigation_plan_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_audit_investigation_plan_contract.py,test_manifest_and_binding_declare_only_the_verified_read_only_capability,passed,0.001,
tests,tests/contract/test_audit_investigation_plan_contract.py,test_anomaly_candidates_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.006,
tests,tests/contract/test_audit_investigation_plan_contract.py,test_audit_evidence_index_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.003,
tests,tests/contract/test_audit_investigation_plan_contract.py,test_investigation_plan_draft_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.007,
tests,tests/contract/test_audit_journal_anomaly_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.014,
tests,tests/contract/test_audit_journal_anomaly_contract.py,test_journal_artifact_ref_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.002,
tests,tests/contract/test_audit_journal_anomaly_contract.py,test_anomaly_candidates_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.005,
tests,tests/contract/test_audit_journal_anomaly_contract.py,test_anomaly_candidates_rejects_finding_write_or_undeclared_properties,passed,0.001,
tests,tests/contract/test_audit_ledger_quality_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.016,
tests,tests/contract/test_audit_ledger_quality_contract.py,test_ledger_artifact_ref_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.005,
tests,tests/contract/test_audit_ledger_quality_contract.py,test_quality_candidates_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.006,
tests,tests/contract/test_audit_ledger_quality_contract.py,test_quality_candidates_rejects_finding_write_or_undeclared_properties,passed,0.001,
tests,tests/contract/test_audit_plugin_network_100.py,test_network_has_exactly_100_plugin_folders,passed,0.000,
tests,tests/contract/test_audit_plugin_network_100.py,test_every_folder_has_protocol_and_manifest,passed,0.013,
tests,tests/contract/test_audit_plugin_network_100.py,test_every_protocol_validates_against_unified_schema,passed,0.060,
tests,tests/contract/test_audit_plugin_network_100.py,test_every_manifest_validates_against_manifest_schema,passed,0.026,
tests,tests/contract/test_audit_plugin_network_100.py,test_ids_are_unique_and_match_folder,passed,0.015,
tests,tests/contract/test_audit_plugin_network_100.py,test_capabilities_unique_and_read_only_contract_only,passed,0.007,
tests,tests/contract/test_audit_plugin_network_100.py,test_verified_network_plugins_have_bindings,passed,0.011,
tests,tests/contract/test_audit_plugin_network_100.py,test_port_contracts_well_formed,passed,0.008,
tests,tests/contract/test_audit_plugin_network_100.py,test_manifest_matches_protocol_binding_fields,passed,0.012,
tests,tests/contract/test_audit_report_draft_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.015,
tests,tests/contract/test_audit_report_draft_contract.py,test_manifest_is_schema_valid_and_declares_no_write_permission,passed,0.007,
tests,tests/contract/test_audit_report_draft_contract.py,test_finding_set_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.004,
tests,tests/contract/test_audit_report_draft_contract.py,test_report_draft_contract_accepts_positive_sample_and_rejects_negative_sample,passed,0.008,
tests,tests/contract/test_audit_workpaper_export_contract.py,test_protocol_is_schema_valid_and_stays_a_read_only_contract,passed,0.016,
tests,tests/contract/test_audit_workpaper_export_contract.py,test_manifest_is_schema_valid_and_declares_no_write_permission,passed,0.008,
