node_instance_id,capability,plugin_id,status,created_at,finished_at,error_kind,error_message,output_refs
asset-check-001,audit.field.asset-check,audit.field.asset-check,succeeded,2026-09-12 11:33:38.748336+08:00,2026-09-12 11:33:38.907523+08:00,,,"{'asset-result': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/asset-check-001/output-asset-result-85d408a9a9382187.json', 'sha256': '85d408a9a938218779381555120a55cd1dbffbff34334e93acbe73328f522035', 'size_bytes': 473}}"
audit-log-001,audit.field.audit-log,audit.field.audit-log,succeeded,2026-09-12 11:33:38.966552+08:00,2026-09-12 11:33:39.101870+08:00,,,"{'audit-log-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/audit-log-001/output-audit-log-set-3782d9454d927376.json', 'sha256': '3782d9454d92737636a34d7452e28b1931b5aecab2648879afb7c2fb3bcafede', 'size_bytes': 735}}"
biz-standardize-001,audit.foundation.biz-standardize,audit.foundation.biz-standardize,succeeded,2026-09-12 11:33:39.149277+08:00,2026-09-12 11:33:39.279019+08:00,,,"{'standard-biz-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/biz-standardize-001/output-standard-biz-set-f2153b6f959f08bc.json', 'sha256': 'f2153b6f959f08bc086f66e6914a74dcfcba55f392d7159b379004dfa3e71bb2', 'size_bytes': 435}}"
confirm-letter-001,audit.field.confirm-letter,audit.field.confirm-letter,succeeded,2026-09-12 11:33:39.327151+08:00,2026-09-12 11:33:39.458740+08:00,,,"{'confirm-result': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/confirm-letter-001/output-confirm-result-74b01a21a00e76fb.json', 'sha256': '74b01a21a00e76fbbda1ff9896af177afe1e34c6fee4bece4da088c27000bd33', 'size_bytes': 726}}"
cross-dept-inquiry-001,audit.field.cross-dept-inquiry,audit.field.cross-dept-inquiry,succeeded,2026-09-12 11:33:39.506813+08:00,2026-09-12 11:33:39.637459+08:00,,,"{'inquiry-result': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/cross-dept-inquiry-001/output-inquiry-result-0a29a2f8d5780b8f.json', 'sha256': '0a29a2f8d5780b8fe2364faff217ddc862b3d42c73470cc88287148a3e3ca622', 'size_bytes': 1000}}"
data-encrypt-001,audit.foundation.data-encrypt,audit.foundation.data-encrypt,succeeded,2026-09-12 11:33:39.686414+08:00,2026-09-12 11:33:39.840712+08:00,,,"{'encrypted-ref': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/data-encrypt-001/output-encrypted-ref-12cbf0e6bc264459.json', 'sha256': '12cbf0e6bc2644590eea5ce076fdc73097a1de12cb6561672c8af61ca8922ecd', 'size_bytes': 424}}"
data-mask-001,audit.foundation.data-mask,audit.foundation.data-mask,succeeded,2026-09-12 11:33:39.892310+08:00,2026-09-12 11:33:40.182303+08:00,,,"{'masked-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/data-mask-001/output-masked-set-aa8917756b91f1ae.json', 'sha256': 'aa8917756b91f1ae01dc680486bcdd6306389d5642dd4279b0bc6d3f195bb5a1', 'size_bytes': 406}}"
demand-collect-001,audit.mandate.demand-collect,audit.mandate.demand-collect,succeeded,2026-09-12 11:33:40.227328+08:00,2026-09-12 11:33:40.346846+08:00,,,"{'demand-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/demand-collect-001/output-demand-set-87b4c984596d7ef7.json', 'sha256': '87b4c984596d7ef759e8852cb5901b6217aa69a9c5bbd780385ea6b289f98d6f', 'size_bytes': 780}}"
evidence-photo-001,audit.field.evidence-photo,audit.field.evidence-photo,succeeded,2026-09-12 11:33:40.395767+08:00,2026-09-12 11:33:40.518567+08:00,,,"{'photo-evidence': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/evidence-photo-001/output-photo-evidence-61d7f105cbd77a80.json', 'sha256': '61d7f105cbd77a8050933ea56e60720c690c6324e821c60e223bd41d3f11a73f', 'size_bytes': 952}}"
evidence-archive-001,audit.evidence.evidence-archive,audit.evidence.evidence-archive,succeeded,2026-09-12 11:33:40.566748+08:00,2026-09-12 11:33:40.688670+08:00,,,"{'archived-evidence': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/evidence-archive-001/output-archived-evidence-1f7a495f699421ca.json', 'sha256': '1f7a495f699421ca0bbf19aef5303d67a162cd569e297eb4fe4724e3a5c407c5', 'size_bytes': 488}}"
extension-approve-001,audit.field.extension-approve,audit.field.extension-approve,succeeded,2026-09-12 11:33:40.733802+08:00,2026-09-12 11:33:40.861669+08:00,,,"{'extension-decision': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/extension-approve-001/output-extension-decision-53baf051c743b358.json', 'sha256': '53baf051c743b3580c05a9d1d4b00a45f0a92692562c19d2492d71ddfc348ed1', 'size_bytes': 642}}"
