主体,科目编码,科目名称,类别,期初余额,期末余额
黔岭销售有限公司,1002,银行存款,asset,680000000,2742500000.00
黔岭销售有限公司,1122,应收账款,asset,300000000,300000000.00
黔岭销售有限公司,1405,库存商品,asset,186000000,186000000.00
黔岭销售有限公司,1601,固定资产,asset,62000000,62000000.00
黔岭销售有限公司,1602,累计折旧,asset_contra,-18000000,-18000000.00
黔岭销售有限公司,2202,应付账款,liability,-300000000,-600000000.00
黔岭销售有限公司,2204,合同负债,liability,-500000000,-980000000.00
黔岭销售有限公司,2211,应付职工薪酬,liability,-42000000,-18000000.00
黔岭销售有限公司,2221,应交税费,liability,-96000000,-200000000.00
黔岭销售有限公司,2241,其他应付款,liability,0,0.00
黔岭销售有限公司,4001,股本,equity,-100000000,-100000000.00
黔岭销售有限公司,4002,资本公积,equity,-40000000,-40000000.00
黔岭销售有限公司,4101,盈余公积,equity,-26000000,-64000000.00
黔岭销售有限公司,4104,未分配利润,equity,-106000000,12000000.00
黔岭销售有限公司,6001,主营业务收入,income,0,-3120000000.00
黔岭销售有限公司,6401,主营业务成本,expense,0,1000000000.00
黔岭销售有限公司,6403,税金及附加,expense,0,60000000.00
黔岭销售有限公司,6601,销售费用,expense,0,286000000.00
黔岭销售有限公司,6602,管理费用,expense,0,64000000.00
黔岭销售有限公司,6801,所得税费用,expense,0,427500000.00
