主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
P,黔岭酒业股份有限公司,1001,库存现金,"200,000.00",0.00,0.00,"200,000.00"
P,黔岭酒业股份有限公司,1002,银行存款,"2,859,800,000.00","2,449,600,000.00","3,496,600,000.00","1,812,800,000.00"
P,黔岭酒业股份有限公司,1012,其他货币资金,"1,000,000,000.00",0.00,0.00,"1,000,000,000.00"
P,黔岭酒业股份有限公司,1101,交易性金融资产,"1,200,000,000.00","300,000,000.00",0.00,"1,500,000,000.00"
P,黔岭酒业股份有限公司,1122,应收账款,"300,000,000.00","1,060,000,000.00","700,000,000.00","660,000,000.00"
P,黔岭酒业股份有限公司,1123,预付款项,"42,000,000.00",0.00,0.00,"42,000,000.00"
P,黔岭酒业股份有限公司,1221,其他应收款,"96,000,000.00","25,000,000.00",0.00,"121,000,000.00"
P,黔岭酒业股份有限公司,1231,坏账准备,0.00,0.00,"3,000,000.00","-3,000,000.00"
P,黔岭酒业股份有限公司,1401,原材料,"260,000,000.00","662,000,000.00","402,000,000.00","520,000,000.00"
P,黔岭酒业股份有限公司,1402,生产成本,"1,180,000,000.00","719,580,833.33","978,000,000.00","921,580,833.33"
P,黔岭酒业股份有限公司,1405,库存商品,"1,420,000,000.00","978,000,000.00","1,142,000,000.00","1,256,000,000.00"
P,黔岭酒业股份有限公司,1471,存货跌价准备,0.00,0.00,"4,000,000.00","-4,000,000.00"
P,黔岭酒业股份有限公司,1501,长期股权投资,"468,800,000.00",0.00,0.00,"468,800,000.00"
P,黔岭酒业股份有限公司,1601,固定资产,"3,114,000,000.00","70,000,000.00",0.00,"3,184,000,000.00"
P,黔岭酒业股份有限公司,1602,累计折旧,"-1,034,902,291.64",0.00,"141,375,833.33","-1,176,278,124.97"
P,黔岭酒业股份有限公司,1604,在建工程,"386,000,000.00","1,196,000,000.00","70,000,000.00","1,512,000,000.00"
P,黔岭酒业股份有限公司,1701,无形资产,"428,000,000.00",0.00,0.00,"428,000,000.00"
P,黔岭酒业股份有限公司,1702,累计摊销,"-132,000,000.00",0.00,"16,000,000.00","-148,000,000.00"
P,黔岭酒业股份有限公司,1801,长期待摊费用,"36,000,000.00","15,000,000.00","7,000,000.00","44,000,000.00"
P,黔岭酒业股份有限公司,1811,递延所得税资产,"62,000,000.00",0.00,0.00,"62,000,000.00"
P,黔岭酒业股份有限公司,1901,其他流动资产,"88,000,000.00",0.00,0.00,"88,000,000.00"
P,黔岭酒业股份有限公司,2202,应付账款,"-486,000,000.00","246,000,000.00","260,000,000.00","-500,000,000.00"
P,黔岭酒业股份有限公司,2204,合同负债,"-1,268,000,000.00",0.00,"520,000,000.00","-1,788,000,000.00"
P,黔岭酒业股份有限公司,2211,应付职工薪酬,"-186,000,000.00","250,000,000.00","278,000,000.00","-214,000,000.00"
P,黔岭酒业股份有限公司,2221,应交税费,"-742,000,000.00","494,000,000.00","552,000,000.00","-800,000,000.00"
P,黔岭酒业股份有限公司,2241,其他应付款,"-640,000,000.00","270,000,000.00","395,800,000.00","-765,800,000.00"
P,黔岭酒业股份有限公司,2601,租赁负债,"-48,000,000.00",0.00,0.00,"-48,000,000.00"
P,黔岭酒业股份有限公司,2611,一年内到期的非流动负债,"-12,000,000.00",0.00,0.00,"-12,000,000.00"
P,黔岭酒业股份有限公司,2901,递延收益,"-96,000,000.00",0.00,0.00,"-96,000,000.00"
P,黔岭酒业股份有限公司,4001,股本,"-1,256,000,000.00",0.00,0.00,"-1,256,000,000.00"
P,黔岭酒业股份有限公司,4002,资本公积,"-2,180,000,000.00",0.00,0.00,"-2,180,000,000.00"
P,黔岭酒业股份有限公司,4101,盈余公积,"-628,000,000.00",0.00,"145,000,000.00","-773,000,000.00"
P,黔岭酒业股份有限公司,4104,未分配利润,"-4,231,897,708.36","540,800,000.00",0.00,"-3,691,097,708.36"
