主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
S1,黔岭销售有限公司,1002,银行存款,"680,000,000.00","3,600,000,000.00","1,545,814,958.33","2,734,185,041.67"
S1,黔岭销售有限公司,1122,应收账款,"300,000,000.00","66,000,000.00",0.00,"366,000,000.00"
S1,黔岭销售有限公司,1231,坏账准备,0.00,0.00,"18,300,000.00","-18,300,000.00"
S1,黔岭销售有限公司,1405,库存商品,"186,000,000.00","1,000,000,000.00","1,000,000,000.00","186,000,000.00"
S1,黔岭销售有限公司,1601,固定资产,"62,000,000.00",0.00,0.00,"62,000,000.00"
S1,黔岭销售有限公司,1602,累计折旧,"-58,409,166.67",0.00,"490,833.33","-58,900,000.00"
S1,黔岭销售有限公司,2202,应付账款,"-292,000,000.00","700,000,000.00","1,000,000,000.00","-592,000,000.00"
S1,黔岭销售有限公司,2204,合同负债,"-500,000,000.00",0.00,"480,000,000.00","-980,000,000.00"
S1,黔岭销售有限公司,2211,应付职工薪酬,"-42,000,000.00","196,000,000.00","172,000,000.00","-18,000,000.00"
S1,黔岭销售有限公司,2221,应交税费,"-96,000,000.00","391,814,958.33","499,302,291.67","-203,487,333.34"
S1,黔岭销售有限公司,2241,其他应付款,0.00,"80,000,000.00","80,000,000.00",0.00
S1,黔岭销售有限公司,4001,股本,"-100,000,000.00",0.00,0.00,"-100,000,000.00"
S1,黔岭销售有限公司,4002,资本公积,"-40,000,000.00",0.00,0.00,"-40,000,000.00"
S1,黔岭销售有限公司,4101,盈余公积,"-26,000,000.00",0.00,"38,000,000.00","-64,000,000.00"
S1,黔岭销售有限公司,4104,未分配利润,"-73,590,833.33","118,000,000.00",0.00,"44,409,166.67"
S1,黔岭销售有限公司,6001,主营业务收入,0.00,0.00,"3,186,000,000.00","-3,186,000,000.00"
S1,黔岭销售有限公司,6401,主营业务成本,0.00,"1,000,000,000.00",0.00,"1,000,000,000.00"
S1,黔岭销售有限公司,6403,税金及附加,0.00,"60,000,000.00",0.00,"60,000,000.00"
S1,黔岭销售有限公司,6601,销售费用,0.00,"286,490,833.33",0.00,"286,490,833.33"
S1,黔岭销售有限公司,6602,管理费用,0.00,"64,000,000.00",0.00,"64,000,000.00"
S1,黔岭销售有限公司,6701,信用减值损失,0.00,"18,300,000.00",0.00,"18,300,000.00"
S1,黔岭销售有限公司,6801,所得税费用,0.00,"439,302,291.67",0.00,"439,302,291.67"
