主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
S2,黔岭酒类包装有限公司,1002,银行存款,"46,000,000.00","190,000,000.00","170,000,000.00","66,000,000.00"
S2,黔岭酒类包装有限公司,1122,应收账款,"86,000,000.00","260,000,000.00","190,000,000.00","156,000,000.00"
S2,黔岭酒类包装有限公司,1401,原材料,"32,000,000.00","96,000,000.00","107,875,000.00","20,125,000.00"
S2,黔岭酒类包装有限公司,1402,生产成本,0.00,"176,000,000.00","176,000,000.00",0.00
S2,黔岭酒类包装有限公司,1405,库存商品,"24,000,000.00","176,000,000.00","200,000,000.00",0.00
S2,黔岭酒类包装有限公司,1601,固定资产,"220,000,000.00",0.00,0.00,"220,000,000.00"
S2,黔岭酒类包装有限公司,1602,累计折旧,"-154,572,916.67",0.00,"26,125,000.00","-180,697,916.67"
S2,黔岭酒类包装有限公司,2202,应付账款,"-46,000,000.00",0.00,0.00,"-46,000,000.00"
S2,黔岭酒类包装有限公司,2211,应付职工薪酬,"-12,000,000.00","44,000,000.00","42,000,000.00","-10,000,000.00"
S2,黔岭酒类包装有限公司,2221,应交税费,"-8,000,000.00","12,000,000.00","14,000,000.00","-10,000,000.00"
S2,黔岭酒类包装有限公司,4001,股本,"-60,000,000.00",0.00,0.00,"-60,000,000.00"
S2,黔岭酒类包装有限公司,4002,资本公积,"-20,000,000.00",0.00,0.00,"-20,000,000.00"
S2,黔岭酒类包装有限公司,4101,盈余公积,"-10,000,000.00",0.00,"2,300,000.00","-12,300,000.00"
S2,黔岭酒类包装有限公司,4104,未分配利润,"-97,427,083.33","2,300,000.00",0.00,"-95,127,083.33"
S2,黔岭酒类包装有限公司,6001,主营业务收入,0.00,0.00,"260,000,000.00","-260,000,000.00"
S2,黔岭酒类包装有限公司,6401,主营业务成本,0.00,"200,000,000.00",0.00,"200,000,000.00"
S2,黔岭酒类包装有限公司,6403,税金及附加,0.00,"6,000,000.00",0.00,"6,000,000.00"
S2,黔岭酒类包装有限公司,6602,管理费用,0.00,"18,000,000.00",0.00,"18,000,000.00"
S2,黔岭酒类包装有限公司,6801,所得税费用,0.00,"8,000,000.00",0.00,"8,000,000.00"
