主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
P,黔岭酒业股份有限公司,1001,库存现金,160000.00,0.00,0.00,160000.00
P,黔岭酒业股份有限公司,1002,银行存款,1864200000.00,2121000000.00,3433290000.00,551910000.00
P,黔岭酒业股份有限公司,1012,其他货币资金,880000000.00,0.00,0.00,880000000.00
P,黔岭酒业股份有限公司,1101,交易性金融资产,1200000000.00,338000000.00,0.00,1538000000.00
P,黔岭酒业股份有限公司,1121,应收票据,0.00,0.00,0.00,0.00
P,黔岭酒业股份有限公司,1122,应收账款,310000000.00,1200000000.00,850000000.00,660000000.00
P,黔岭酒业股份有限公司,1123,预付款项,96000000.00,6800000.00,0.00,102800000.00
P,黔岭酒业股份有限公司,1221,其他应收款,86000000.00,0.00,0.00,86000000.00
P,黔岭酒业股份有限公司,1231,坏账准备,-15000000.00,0.00,0.00,-15000000.00
P,黔岭酒业股份有限公司,1401,原材料,160000000.00,1047200000.00,960000000.00,247200000.00
P,黔岭酒业股份有限公司,1402,生产成本,420000000.00,1503916666.66,1086000000.00,837916666.66
P,黔岭酒业股份有限公司,1405,库存商品,520000000.00,1086000000.00,1344000000.00,262000000.00
P,黔岭酒业股份有限公司,1471,存货跌价准备,-4000000.00,0.00,0.00,-4000000.00
P,黔岭酒业股份有限公司,1501,长期股权投资,468800000.00,0.00,0.00,468800000.00
P,黔岭酒业股份有限公司,1601,固定资产,4436000000.00,273000000.00,0.00,4709000000.00
P,黔岭酒业股份有限公司,1602,累计折旧,-1596201874.97,0.00,196206666.66,-1792408541.63
P,黔岭酒业股份有限公司,1604,在建工程,386000000.00,486000000.00,273000000.00,599000000.00
P,黔岭酒业股份有限公司,1701,无形资产,428000000.00,0.00,0.00,428000000.00
P,黔岭酒业股份有限公司,1702,累计摊销,-132000000.00,0.00,16000000.00,-148000000.00
P,黔岭酒业股份有限公司,1801,长期待摊费用,36000000.00,0.00,8400000.00,27600000.00
P,黔岭酒业股份有限公司,1811,递延所得税资产,62000000.00,0.00,0.00,62000000.00
P,黔岭酒业股份有限公司,1901,其他流动资产,88000000.00,0.00,0.00,88000000.00
P,黔岭酒业股份有限公司,2001,短期借款,0.00,0.00,200000000.00,-200000000.00
P,黔岭酒业股份有限公司,2202,应付账款,-486000000.00,82000000.00,168000000.00,-572000000.00
P,黔岭酒业股份有限公司,2204,合同负债,-1268000000.00,0.00,0.00,-1268000000.00
P,黔岭酒业股份有限公司,2211,应付职工薪酬,-186000000.00,322300000.00,306000000.00,-169700000.00
P,黔岭酒业股份有限公司,2221,应交税费,-742000000.00,664000000.00,666300000.00,-744300000.00
P,黔岭酒业股份有限公司,2241,其他应付款,-640000000.00,395800000.00,395800000.00,-640000000.00
P,黔岭酒业股份有限公司,2601,租赁负债,-48000000.00,0.00,0.00,-48000000.00
P,黔岭酒业股份有限公司,2611,一年内到期的非流动负债,-12000000.00,12000000.00,0.00,0.00
P,黔岭酒业股份有限公司,2901,递延收益,-96000000.00,0.00,30000000.00,-126000000.00
P,黔岭酒业股份有限公司,4001,股本,-1256000000.00,0.00,0.00,-1256000000.00
P,黔岭酒业股份有限公司,4002,资本公积,-2180000000.00,0.00,0.00,-2180000000.00
P,黔岭酒业股份有限公司,4101,盈余公积,-628000000.00,0.00,0.00,-628000000.00
P,黔岭酒业股份有限公司,4104,未分配利润,-2151958125.03,395800000.00,0.00,-1756158125.03
P,黔岭酒业股份有限公司,6001,主营业务收入,0.00,0.00,2140000000.00,-2140000000.00
P,黔岭酒业股份有限公司,6111,投资收益,0.00,0.00,98000000.00,-98000000.00
P,黔岭酒业股份有限公司,6117,其他收益,0.00,0.00,21000000.00,-21000000.00
P,黔岭酒业股份有限公司,6401,主营业务成本,0.00,1344000000.00,0.00,1344000000.00
P,黔岭酒业股份有限公司,6403,税金及附加,0.00,568000000.00,0.00,568000000.00
P,黔岭酒业股份有限公司,6601,销售费用,0.00,46000000.00,0.00,46000000.00
P,黔岭酒业股份有限公司,6602,管理费用,0.00,178180000.00,0.00,178180000.00
P,黔岭酒业股份有限公司,6603,研发费用,0.00,26000000.00,0.00,26000000.00
P,黔岭酒业股份有限公司,6801,所得税费用,0.00,96000000.00,0.00,96000000.00
