主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
S2,黔岭酒类包装有限公司,1002,银行存款,46000000.00,82000000.00,168600000.00,-40600000.00
S2,黔岭酒类包装有限公司,1122,应收账款,86000000.00,168000000.00,82000000.00,172000000.00
S2,黔岭酒类包装有限公司,1231,坏账准备,-4300000.00,0.00,1200000.00,-5500000.00
S2,黔岭酒类包装有限公司,1401,原材料,24000000.00,96000000.00,92000000.00,28000000.00
S2,黔岭酒类包装有限公司,1402,生产成本,0.00,160410000.00,158000000.00,2410000.00
S2,黔岭酒类包装有限公司,1405,库存商品,18000000.00,158000000.00,134400000.00,41600000.00
S2,黔岭酒类包装有限公司,1601,固定资产,316000000.00,0.00,0.00,316000000.00
S2,黔岭酒类包装有限公司,1602,累计折旧,-154802500.00,0.00,26410000.00,-181212500.00
S2,黔岭酒类包装有限公司,2202,应付账款,-46000000.00,0.00,0.00,-46000000.00
S2,黔岭酒类包装有限公司,2211,应付职工薪酬,-12000000.00,46000000.00,42000000.00,-8000000.00
S2,黔岭酒类包装有限公司,2221,应交税费,-8000000.00,8600000.00,8600000.00,-8000000.00
S2,黔岭酒类包装有限公司,4001,股本,-60000000.00,0.00,0.00,-60000000.00
S2,黔岭酒类包装有限公司,4002,资本公积,-20000000.00,0.00,0.00,-20000000.00
S2,黔岭酒类包装有限公司,4101,盈余公积,-10000000.00,0.00,0.00,-10000000.00
S2,黔岭酒类包装有限公司,4104,未分配利润,-174897500.00,0.00,0.00,-174897500.00
S2,黔岭酒类包装有限公司,6001,主营业务收入,0.00,0.00,168000000.00,-168000000.00
S2,黔岭酒类包装有限公司,6401,主营业务成本,0.00,134400000.00,0.00,134400000.00
S2,黔岭酒类包装有限公司,6602,管理费用,0.00,18000000.00,0.00,18000000.00
S2,黔岭酒类包装有限公司,6701,信用减值损失,0.00,1200000.00,0.00,1200000.00
S2,黔岭酒类包装有限公司,6801,所得税费用,0.00,8600000.00,0.00,8600000.00
