报表,项目,期末/本期金额
合并资产负债表,货币资金,3255170000.00
合并资产负债表,交易性金融资产,1538000000.00
合并资产负债表,应收票据,36000000.00
合并资产负债表,应收账款,718980000.00
合并资产负债表,预付款项,102800000.00
合并资产负债表,其他应收款,86000000.00
合并资产负债表,存货,1594770010.66
合并资产负债表,其他流动资产,88000000.00
合并资产负债表,流动资产合计,7419720010.66
合并资产负债表,长期股权投资,0.00
合并资产负债表,固定资产,3135050625.04
合并资产负债表,在建工程,599000000.00
合并资产负债表,无形资产,280000000.00
合并资产负债表,长期待摊费用,27600000.00
合并资产负债表,递延所得税资产,62000000.00
合并资产负债表,非流动资产合计,4103650625.04
合并资产负债表,资产总计,11523370635.70
合并资产负债表,短期借款,200000000.00
合并资产负债表,应付账款,446000000.00
合并资产负债表,合同负债,1768000000.00
合并资产负债表,应付职工薪酬,201700000.00
合并资产负债表,应交税费,846000000.00
合并资产负债表,其他应付款,640000000.00
合并资产负债表,一年内到期的非流动负债,0.00
合并资产负债表,流动负债合计,4101700000.00
合并资产负债表,租赁负债,48000000.00
合并资产负债表,递延收益,126000000.00
合并资产负债表,非流动负债合计,174000000.00
合并资产负债表,负债合计,4275700000.00
合并资产负债表,股本,1416000000.00
合并资产负债表,资本公积,2240000000.00
合并资产负债表,盈余公积,664000000.00
合并资产负债表,未分配利润,3396470635.70
合并资产负债表,归属于母公司所有者权益合计,7193531135.70
合并资产负债表,少数股东权益,54139500.00
合并资产负债表,所有者权益合计,7247670635.70
合并利润表,营业收入,3821240000.00
合并利润表,营业成本,1290756656.00
合并利润表,税金及附加,654000000.00
合并利润表,销售费用,266080000.00
合并利润表,管理费用,248180000.00
合并利润表,研发费用,26000000.00
合并利润表,财务费用,0.00
合并利润表,其他收益,21000000.00
合并利润表,投资收益,18000000.00
合并利润表,信用减值损失,15360000.00
合并利润表,资产减值损失,0.00
合并利润表,营业利润,1359863344.00
合并利润表,营业外收入,0.00
合并利润表,营业外支出,0.00
合并利润表,利润总额,1359863344.00
合并利润表,所得税费用,216600000.00
合并利润表,净利润,1143263344.00
