凭证号,主体代码,会计主体,记账日期,摘要,科目编码,科目名称,借方金额,贷方金额,客户,供应商,关联方,产品,渠道,地区,税种,费用性质,使用部门,季度,单据日期,现金流项目,合同号,补助类型,内部往来标记
PZ00001,P,黔岭酒业股份有限公司,2025-03-31,Q1 直销收入,1002,银行存款,180000000.00,,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q1,,销售商品、提供劳务收到的现金,,,
PZ00001,P,黔岭酒业股份有限公司,2025-03-31,Q1 直销收入,6001,主营业务收入,,180000000.00,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q1,,销售商品、提供劳务收到的现金,,,
PZ00002,P,黔岭酒业股份有限公司,2025-06-30,Q2 直销收入,1002,银行存款,210000000.00,,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q2,,销售商品、提供劳务收到的现金,,,
PZ00002,P,黔岭酒业股份有限公司,2025-06-30,Q2 直销收入,6001,主营业务收入,,210000000.00,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q2,,销售商品、提供劳务收到的现金,,,
PZ00003,P,黔岭酒业股份有限公司,2025-09-30,Q3 直销收入,1002,银行存款,195000000.00,,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q3,,销售商品、提供劳务收到的现金,,,
PZ00003,P,黔岭酒业股份有限公司,2025-09-30,Q3 直销收入,6001,主营业务收入,,195000000.00,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q3,,销售商品、提供劳务收到的现金,,,
PZ00004,P,黔岭酒业股份有限公司,2025-12-31,Q4 直销收入,1002,银行存款,235000000.00,,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q4,,销售商品、提供劳务收到的现金,,,
PZ00004,P,黔岭酒业股份有限公司,2025-12-31,Q4 直销收入,6001,主营业务收入,,235000000.00,外部经销商（汇总）,,,黔岭·天酿,直销,国内,,,,Q4,,销售商品、提供劳务收到的现金,,,
PZ00005,P,黔岭酒业股份有限公司,2025-03-31,Q1 向黔岭销售调拨基酒,1122,应收账款,250000000.00,,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q1,,,,,母公司对黔岭销售应收账款
PZ00005,P,黔岭酒业股份有限公司,2025-03-31,Q1 向黔岭销售调拨基酒,6001,主营业务收入,,250000000.00,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q1,,,,,母公司对黔岭销售应收账款
PZ00006,P,黔岭酒业股份有限公司,2025-06-30,Q2 向黔岭销售调拨基酒,1122,应收账款,300000000.00,,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q2,,,,,母公司对黔岭销售应收账款
PZ00006,P,黔岭酒业股份有限公司,2025-06-30,Q2 向黔岭销售调拨基酒,6001,主营业务收入,,300000000.00,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q2,,,,,母公司对黔岭销售应收账款
PZ00007,P,黔岭酒业股份有限公司,2025-09-30,Q3 向黔岭销售调拨基酒,1122,应收账款,280000000.00,,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q3,,,,,母公司对黔岭销售应收账款
PZ00007,P,黔岭酒业股份有限公司,2025-09-30,Q3 向黔岭销售调拨基酒,6001,主营业务收入,,280000000.00,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q3,,,,,母公司对黔岭销售应收账款
PZ00008,P,黔岭酒业股份有限公司,2025-12-31,Q4 向黔岭销售调拨基酒,1122,应收账款,370000000.00,,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q4,,,,,母公司对黔岭销售应收账款
PZ00008,P,黔岭酒业股份有限公司,2025-12-31,Q4 向黔岭销售调拨基酒,6001,主营业务收入,,370000000.00,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,Q4,,,,,母公司对黔岭销售应收账款
PZ00009,P,黔岭酒业股份有限公司,2025-11-30,收黔岭销售货款,1002,银行存款,850000000.00,,,,黔岭销售有限公司,,,,,,,,,销售商品、提供劳务收到的现金,,,母公司对黔岭销售应收账款
PZ00009,P,黔岭酒业股份有限公司,2025-11-30,收黔岭销售货款,1122,应收账款,,850000000.00,,,黔岭销售有限公司,,,,,,,,,销售商品、提供劳务收到的现金,,,母公司对黔岭销售应收账款
