会计主体,季度,产品,销售数量(万瓶),出库日期,销售金额
黔岭酒业股份有限公司,Q1,黔岭·天酿,360000.00,2025-03-28,180000000.00
黔岭酒业股份有限公司,Q2,黔岭·天酿,420000.00,2025-06-27,210000000.00
黔岭酒业股份有限公司,Q3,黔岭·天酿,390000.00,2025-09-28,195000000.00
黔岭酒业股份有限公司,Q4,黔岭·天酿,470000.00,2025-12-28,235000000.00
黔岭酒业股份有限公司,Q1,基酒（内部）,500000.00,2025-03-29,250000000.00
黔岭酒业股份有限公司,Q2,基酒（内部）,600000.00,2025-06-28,300000000.00
黔岭酒业股份有限公司,Q3,基酒（内部）,560000.00,2025-09-28,280000000.00
黔岭酒业股份有限公司,Q4,基酒（内部）,740000.00,2025-12-29,370000000.00
黔岭销售有限公司,Q1,黔岭·天酿,880000.00,2025-03-27,440000000.00
黔岭销售有限公司,Q1,黔岭·天酿,360000.00,2025-03-27,180000000.00
黔岭销售有限公司,Q2,黔岭·天酿,1360000.00,2025-06-26,680000000.00
黔岭销售有限公司,Q3,黔岭·天酿,1400000.00,2025-09-27,700000000.00
黔岭销售有限公司,Q4,黔岭·天酿,1760000.00,2025-12-26,880000000.00
黔岭酒业股份有限公司,Q4,黔岭·天酿,240000.00,2025-10-31,120000000.00
黔岭销售有限公司,Q4,黔岭·春酿,1040.00,2026-01-08,520000.00
黔岭销售有限公司,Q4,黔岭·春酿,760.00,2026-01-08,380000.00
黔岭销售有限公司,Q4,黔岭·春酿,680.00,2026-01-09,340000.00
合计,全年,—,10042480.00,—,5021240000.00
