资产编号,会计主体,资产名称,资产类别,使用部门,转固日期,原值,折旧年限(年),残值率(%),期初累计折旧,期末累计折旧,折旧方法
FA-P-001,黔岭酒业股份有限公司,酿酒车间及窖池（一期）,房屋及建筑物,生产,2010-12-31,980000000.00,40,5,325850000.00,349125000.00,年限平均法
FA-P-002,黔岭酒业股份有限公司,酿酒车间及窖池（二期）,房屋及建筑物,生产,2016-06-30,640000000.00,40,5,129200000.00,144400000.00,年限平均法
FA-P-003,黔岭酒业股份有限公司,酿酒车间及窖池（三期）,房屋及建筑物,生产,2024-12-31,568000000.00,20,5,0.00,26980000.00,年限平均法
FA-P-004,黔岭酒业股份有限公司,办公楼及研发中心,房屋及建筑物,管理,2013-09-30,720000000.00,40,5,192375000.00,209475000.00,年限平均法
FA-P-005,黔岭酒业股份有限公司,员工活动中心,房屋及建筑物,管理,2018-12-31,96000000.00,40,5,13680000.00,15960000.00,年限平均法
FA-P-006,黔岭酒业股份有限公司,灌装生产线（一号）,机器设备,生产,2015-06-30,420000000.00,12,5,315875000.00,349125000.00,年限平均法
FA-P-007,黔岭酒业股份有限公司,灌装生产线（二号）,机器设备,生产,2019-01-31,386000000.00,12,5,180803472.20,211361805.53,年限平均法
FA-P-008,黔岭酒业股份有限公司,勾兑与储酒设备,机器设备,生产,2017-09-30,248000000.00,10,5,170810000.00,194370000.00,年限平均法
FA-P-009,黔岭酒业股份有限公司,锅炉及动力设备,机器设备,生产,2012-03-31,156000000.00,10,5,148200000.00,148200000.00,年限平均法
FA-P-010,黔岭酒业股份有限公司,酒质检测仪器,机器设备,管理,2020-07-31,64000000.00,8,5,33566666.67,41166666.67,年限平均法
FA-P-011,黔岭酒业股份有限公司,污水处理设备,机器设备,生产,2021-11-30,58000000.00,15,5,11326111.10,14999444.43,年限平均法
FA-P-012,黔岭酒业股份有限公司,早期包装设备（已停用待处置）,机器设备,生产,2013-01-31,36000000.00,10,5,34200000.00,37620000.00,年限平均法
FA-P-013,黔岭酒业股份有限公司,厂区运输车辆（第一批）,运输设备,管理,2012-08-31,22000000.00,8,5,20900000.00,23512500.00,年限平均法
FA-P-014,黔岭酒业股份有限公司,行政办公车辆,运输设备,管理,2021-03-31,18000000.00,8,5,8015625.00,10153125.00,年限平均法
FA-P-015,黔岭酒业股份有限公司,办公及 IT 设备,电子设备,管理,2022-06-30,24000000.00,5,5,11400000.00,15960000.00,年限平均法
FA-P-016,黔岭酒业股份有限公司,智能仓储系统,机器设备,生产,2025-09-30,273000000.00,10,5,0.00,0.00,年限平均法
FA-S1-001,黔岭销售有限公司,销售办公用房,房屋及建筑物,销售,2016-01-31,88000000.00,40,5,18635833.33,20725833.33,年限平均法
FA-S1-002,黔岭销售有限公司,仓储及物流设备,机器设备,销售,2019-07-31,42000000.00,10,5,21612500.00,25602500.00,年限平均法
FA-S2-001,黔岭酒类包装有限公司,包材生产线,机器设备,生产,2018-05-31,186000000.00,10,5,116327500.00,133997500.00,年限平均法
FA-S2-002,黔岭酒类包装有限公司,包材模具,机器设备,生产,2021-09-30,34000000.00,5,5,20995000.00,27455000.00,年限平均法
FA-S2-003,黔岭酒类包装有限公司,包装厂房,房屋及建筑物,生产,2017-04-30,96000000.00,40,5,17480000.00,19760000.00,年限平均法
