出库单号,用途,对应销售单,归档状态
CK5000001,2025 年度销售出库,—,已归档
CK5000002,2025 年度销售出库,—,已归档
CK5000003,2025 年度销售出库,—,已归档
CK5000004,2025 年度销售出库,—,已归档
CK5000005,2025 年度销售出库,—,已归档
CK5000006,2025 年度销售出库,—,已归档
CK5000007,2025 年度销售出库,—,已归档
CK5000008,2025 年度销售出库,—,已归档
CK5000009,2025 年度销售出库,—,已归档
CK5000010,2025 年度销售出库,—,已归档
CK5000011,2025 年度销售出库,—,已归档
CK5000014,2025 年度销售出库,—,已归档
CK5000015,2025 年度销售出库,—,已归档
CK5000016,2025 年度销售出库,—,已归档
CK5000017,2025 年度销售出库,—,已归档
CK5000018,2025 年度销售出库,—,已归档
CK5000019,2025 年度销售出库,—,已归档
CK5000020,2025 年度销售出库,—,已归档
CK5000021,2025 年度销售出库,—,已归档
CK5000022,2025 年度销售出库,—,已归档
CK5000023,2025 年度销售出库,—,已归档
CK5000024,2025 年度销售出库,—,已归档
CK5000025,2025 年度销售出库,—,已归档
CK5000026,2025 年度销售出库,—,已归档
CK5000027,2025 年度销售出库,—,已归档
CK5000028,2025 年度销售出库,—,已归档
CK5000029,2025 年度销售出库,—,已归档
CK5000030,2025 年度销售出库,—,已归档
CK5000031,2025 年度销售出库,—,已归档
CK5000032,2025 年度销售出库,—,已归档
CK5000033,2025 年度销售出库,—,已归档
CK5000035,2025 年度销售出库,—,已归档
CK5000036,2025 年度销售出库,—,已归档
CK5000037,2025 年度销售出库,—,已归档
CK5000038,2025 年度销售出库,—,已归档
CK5000039,2025 年度销售出库,—,已归档
CK5000040,2025 年度销售出库,—,已归档
CK5000041,2025 年度销售出库,—,已归档
CK5000042,2025 年度销售出库,—,已归档
CK5000043,2025 年度销售出库,—,已归档
CK5000044,2025 年度销售出库,—,已归档
CK5000045,2025 年度销售出库,—,已归档
CK5000046,2025 年度销售出库,—,已归档
CK5000047,2025 年度销售出库,—,已归档
CK5000048,2025 年度销售出库,—,已归档
CK5000049,2025 年度销售出库,—,已归档
CK5000050,2025 年度销售出库,—,已归档
CK5000051,2025 年度销售出库,—,已归档
CK5000052,2025 年度销售出库,—,已归档
CK5000053,2025 年度销售出库,—,已归档
CK5000054,2025 年度销售出库,—,已归档
CK5000055,2025 年度销售出库,—,已归档
CK5000057,2025 年度销售出库,—,已归档
CK5000058,2025 年度销售出库,—,已归档
CK5000059,2025 年度销售出库,—,已归档
CK5000060,2025 年度销售出库,—,已归档
CK5000061,2025 年度销售出库,—,已归档
CK5000062,2025 年度销售出库,—,已归档
CK5000063,2025 年度销售出库,—,已归档
CK5000064,2025 年度销售出库,—,已归档
CK5000065,2025 年度销售出库,—,已归档
CK5000066,2025 年度销售出库,—,已归档
CK5000067,2025 年度销售出库,—,已归档
CK5000068,2025 年度销售出库,—,已归档
CK5000069,2025 年度销售出库,—,已归档
CK5000070,2025 年度销售出库,—,已归档
CK5000076,2025 年度销售出库,—,已归档
CK5000077,2025 年度销售出库,—,已归档
CK5000078,2025 年度销售出库,—,已归档
CK5000079,2025 年度销售出库,—,已归档
CK5000080,2025 年度销售出库,—,已归档
CK5000081,2025 年度销售出库,—,已归档
CK5000082,2025 年度销售出库,—,已归档
CK5000083,2025 年度销售出库,—,已归档
CK5000084,2025 年度销售出库,—,已归档
CK5000085,2025 年度销售出库,—,已归档
CK5000086,2025 年度销售出库,—,已归档
CK5000087,2025 年度销售出库,—,已归档
CK5000088,2025 年度销售出库,—,已归档
CK5000089,2025 年度销售出库,—,已归档
CK5000090,2025 年度销售出库,—,已归档
CK5000094,2025 年度销售出库,—,已归档
CK5000095,2025 年度销售出库,—,已归档
CK5000097,2025 年度销售出库,—,已归档
CK5000098,2025 年度销售出库,—,已归档
CK5000099,2025 年度销售出库,—,已归档
CK5000100,2025 年度销售出库,—,已归档
